ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12
0,1.0,0.06686807,0.4663335,0.04501915,-0.17872208,-0.8743323,-0.54026544,-0.53630245,0.76890075,-0.6803918,-0.80879307,0.76714146,-2.3955107E-4,0.42099988
1,1.0,0.57319236,0.4663335,0.04501915,-0.17872208,-0.8743323,-0.54026544,0.4240017,0.76890075,0.15367234,-0.33572394,-0.5390141,-2.3955107E-4,0.41857684
2,1.0,-0.5734129,0.4663335,0.017497301,-0.17872208,-0.8743323,-0.54026544,0.2277,0.9056549,-0.6803918,-0.33572394,0.76714146,-2.3955107E-4,0.42099988
3,1.0,0.57319236,0.4663335,-0.8201517,-0.94814205,-0.8743323,-0.54026544,-0.3598798,0.76890075,-0.6803918,0.85414267,0.2317195,-2.3955107E-4,0.41857684
4,1.0,0.06686807,0.4663335,-0.04788941,0.033266425,-0.8743323,0.36361337,0.4240017,0.76890075,-0.6803918,0.85414267,0.2317195,-0.6795982,0.42099988
5,1.0,0.57319236,0.4663335,-0.8201517,-0.94814205,-0.16686076,0.36361337,-0.9767992,-0.13702893,-0.7446536,0.85414267,-0.5390141,-2.3955107E-4,0.41857684
6,1.0,0.57319236,0.4663335,-0.04788941,-0.94814205,-0.16686076,0.36361337,0.34719956,-0.13702893,-0.6803918,0.85414267,0.2317195,-2.3955107E-4,0.41857684
7,1.0,-0.5734129,0.4663335,0.7383318,0.033266425,-0.16686076,0.36361337,-0.9767992,-0.13702893,-0.7446536,0.85414267,-0.5390141,-0.6795982,0.41857684
8,1.0,0.57319236,0.4663335,0.7383318,0.033266425,-0.16686076,0.36361337,-0.3598798,0.76890075,-0.7446536,0.85414267,0.8151592,-0.6795982,0.41857684
9,1.0,-0.5734129,-0.5365078,-0.8201517,0.033266425,-0.16686076,0.36361337,0.34719956,0.76890075,-0.7446536,0.85414267,0.8151592,-2.3955107E-4,0.41857684
10,1.0,0.06686807,0.4663335,-0.8201517,-0.17872208,-0.16686076,0.36361337,0.34719956,-0.13702893,-0.7446536,0.85414267,-0.5390141,-0.6795982,0.63037884
11,1.0,0.06686807,0.94715655,-0.8201517,-0.94814205,-0.16686076,0.36361337,0.34719956,-0.13702893,-0.6803918,0.85414267,-0.5390141,-0.38215023,0.41857684
