Generation,Maximum Fitness,Average Fitness,Variance
0,8.104849,4.6033874,1.5859927
1,8.104849,4.699837,1.6396127
2,8.104849,4.704146,1.6499627
3,8.104849,4.8243446,1.6128272
4,8.104849,4.8058043,1.5496356
5,8.104849,4.860423,1.517223
6,8.104849,4.8789396,1.5341196
7,8.104849,4.9263372,1.3762248
8,8.104849,4.9901185,1.4216304
9,8.104849,5.0382338,1.419855
10,8.104849,5.138876,1.4888096
11,8.104849,5.1250567,1.6067078
12,8.104849,5.143004,1.6177584
13,8.104849,5.179092,1.6261823
14,8.104849,5.202288,1.6212536
15,8.104849,5.327822,1.4115068
16,8.104849,5.3479114,1.4037995
17,8.104849,5.3173523,1.4114076
18,8.104849,5.362802,1.4125272
19,8.104849,5.4604363,1.3641071
20,8.104849,5.5443883,1.4128519
21,8.104849,5.550323,1.403301
22,8.104849,5.6360707,1.0598222
23,8.104849,5.6809306,1.1717854
24,8.104849,5.687457,1.1670595
25,8.104849,5.765213,1.1255742
26,8.104849,5.780508,1.2433199
27,8.104849,5.8364296,1.3200126
28,8.104849,5.8487782,1.3579397
29,8.104849,5.8851027,1.3797127
30,8.104849,5.931785,1.2811944
31,8.104849,6.001493,1.1405402
32,8.104849,6.054832,1.1354405
33,8.104849,6.09052,1.1510438
34,8.104849,6.124668,1.1596423
35,8.104849,6.1427517,1.1289947
36,8.104849,6.2030077,1.1644388
37,8.104849,6.296838,1.0059363
38,8.104849,6.2953663,1.0210143
39,8.104849,6.31727,0.9671421
40,8.104849,6.3292236,0.942759
41,8.104849,6.4182286,1.0162878
42,8.258439,6.469009,0.9904737
43,8.258439,6.486454,0.97881
44,8.258439,6.563788,0.98885715
45,8.258439,6.559959,1.2154286
46,8.258439,6.6570067,1.0042078
47,8.258439,6.659167,1.0041137
48,8.258439,6.7306337,1.0457935
49,8.258439,6.741477,1.0952252
50,8.258439,6.7106237,1.3138396
51,8.258439,6.7273054,1.3210566
52,8.258439,6.7645454,1.2729294
53,8.258439,6.7486706,1.4985458
54,8.258439,6.826719,1.5458859
55,8.258439,6.867074,1.5711861
56,8.258439,6.8669033,1.628425
57,8.258499,6.8950105,1.6307548
58,8.258499,6.9274,1.4375627
59,8.258499,6.9715075,1.4050741
60,8.258499,7.0024385,1.4244752
61,8.258499,7.0664253,1.404829
62,8.258499,7.1009417,1.3459321
63,8.258499,7.0823174,1.343194
64,8.258499,7.1649275,1.3016135
65,8.258499,7.243252,1.0298252
66,8.258499,7.277301,1.0308292
67,8.258499,7.300973,1.0254354
68,8.258499,7.304339,1.0302234
69,8.258499,7.358214,1.0077542
70,8.258499,7.390102,1.0147216
71,8.258499,7.430233,0.9962186
72,8.258499,7.4735136,0.9781196
73,8.258499,7.4896336,1.0718062
74,8.258499,7.5454106,0.9825721
75,8.258499,7.586073,0.9500929
76,8.258499,7.587346,0.9512857
77,8.258499,7.6071076,0.9462373
78,8.258499,7.5923476,1.0166067
79,8.258499,7.593164,1.017359
80,8.258499,7.6345196,0.90369195
81,8.258499,7.6345196,0.90369195
82,8.258499,7.737178,0.6015573
83,8.258499,7.802383,0.5254578
84,8.258499,7.8215466,0.4998594
85,8.258499,7.8746886,0.39983544
86,8.258499,7.876996,0.4005443
87,8.258499,7.9226933,0.295322
88,8.258499,7.9193974,0.3169838
89,8.258499,7.9188313,0.31935441
90,8.258499,7.940221,0.29318208
91,8.258499,7.9595976,0.266084
92,8.258499,7.9471636,0.346882
93,8.258499,7.9494896,0.34671822
94,8.258499,7.9494896,0.34671822
95,8.258499,7.9733076,0.3006909
96,8.258499,7.9712315,0.31260425
97,8.258499,8.007043,0.19879803
98,8.258499,8.029323,0.16303504
99,8.258499,8.05239,0.11412105
